LABORATORIO,PROVEEDOR,CUM,DESCRIPCION,PRECIO,CUM2,IVA,PRINCIPIO ACTIVO,REGULADOS,reg invima
LAFRACOL,LAFRACOL,0,CARDIOMAX 10 mg x 20 TAB-ENT,8128,,,ROSUVASTATIN CALC EQV ROSUVASTATINA 10mg,#N/D,
LAFRACOL,LAFRACOL,0,CARDIOMAX 20 mg x 20 TAB-ENT,9039,,,ROSUVASTATIN CALC EQV ROSUVASTATINA 20mg,#N/D,
LAFRACOL,LAFRACOL,0,CARDIOMAX 40 mg x 10 TAB-ENT,19533,,,ROSUVASTATIN CALC EQV ROSUVASTATINA 40mg,#N/D,
LAFRACOL,LAFRACOL,0,CARDIOMAX PLUS 10/10 mg x 28 TAB-ENT,5869,,,EZETIMIBA MICRONIZADO 10 mg; ROSUVASTATIN CALC EQV ROSUVASTATINA 10mg,#N/D,
LAFRACOL,LAFRACOL,0,CARDIOMAX PLUS 10/20 mg x 28 TAB-ENT,7817,,,EZETIMIBA MICRONIZADO 10 mg; ROSUVASTATIN CALC EQV ROSUVASTATINA 20mg,#N/D,
LAFRACOL,LAFRACOL,0,CETIRAX 10 mg MAST x 10 TAB-ENT,4437,,,CETIRIZINA DICLORHIDRATO 10 mg,#N/D,
LAFRACOL,LAFRACOL,0,CETIRAX GOT x 15mL-ENT,44165,,,CETIRIZINA DICLORHIDRATO 10 mg/mL,#N/D,
LAFRACOL,LAFRACOL,0,CETIRAX JBE x 60mL-ENT,41100,,,CETIRIZINA DICLORHIDRATO 0.1 g/100 mL,#N/D,
LAFRACOL,LAFRACOL,0,CIMOXEN 500 mg x 10 TAB-ENT,7827,,,CIPROFLOX CLORH EQV CIPROFLOX BASE 500mg,#N/D,
LAFRACOL,LAFRACOL,0,CLEAROVAC 64 g x 4 SOB-ENT,12608,,,POLIETILENGLICOL 4000 86.85 g/100 g,#N/D,
LAFRACOL,LAFRACOL,0,CLINACYN GEL x30g-ENT,63820,,,ADAPALENO MICRONIZADO 0.1%; CLINDAMICINA FOSF EQV CLINDAMICINA 1 g,#N/D,
LAFRACOL,LAFRACOL,0,COLIK FORTE x 40 TAB,1378,,,NAPROXENO 220 mg; ACETAMINOFEN 250 mg; CAFEINA 65 mg,#N/D,
LAFRACOL,LAFRACOL,0,CORDIAX 80 MG X 30 TAB-ENT,804,,,TELMISARTAN 80 mg,#N/D,
LAFRACOL,LAFRACOL,0,CORDIAX AM 80/5 mg X 30 TAB ENT,2473,,,TELMISARTAN 80 mg; AMLODIPINO BESILATO EQV. 5 mg AMLODIPINO,#N/D,
LAFRACOL,LAFRACOL,0,DABIX 160/12.5mg x30 TAB-ENT,3449,,,"VALSARTAN 160 mg; CLORTALIDONA 12,5 mg",#N/D,
LAFRACOL,LAFRACOL,0,DABIX 160/25mg x30 TAB-ENT,2833,,,VALSARTAN 160 mg; CLORTALIDONA 25 mg,#N/D,
LAFRACOL,LAFRACOL,0,DABIX 80/12.5mg x30 TAB-ENT,1885,,,"VALSARTAN 80 mg; CLORTALIDONA 12,5 mg",#N/D,
LAFRACOL,LAFRACOL,0,DAPTOMIX 5% GEL TBO x20g-ENT,81400,,,DAPSONA 5 g/100 g,#N/D,
LAFRACOL,LAFRACOL,0,DAYAMINERAL Fe JBE 240mL OTC-ENT,48666,,,VITAMINAS HIERRRO Y MINERALES,#N/D,
LAFRACOL,LAFRACOL,0,DICETEL DUO X 12 TAB-ENT,5716,,,BROMURO DE PINAVERIO 100 mg; SIMETICONA DC 65% EQUIV DIMETICONA 300mg,#N/D,
LAFRACOL,LAFRACOL,0,DICETEL DUO X 24 TAB-ENT,5716,,,BROMURO DE PINAVERIO 100 mg; SIMETICONA DC 65% EQUIV DIMETICONA 300mg,#N/D,
LAFRACOL,LAFRACOL,0,DIENOMET 2mg x 28 TAB-ENT,1863,,,DIENOGEST 2 mg,#N/D,
LAFRACOL,LAFRACOL,0,DOLCETTINA 1.5 % FCO X 10 ML-ENT,32499,,,BEPOTASTINA BESILATO 15 mg/mL,#N/D,
