LABORATORIO,PROVEEDOR,CUM,DESCRIPCION,PRECIO,CUM2,IVA,PRINCIPIO ACTIVO,REGULADOS,reg invima
ADEXA PHARMA SAS,CRUZ VERDE,20048713-3,AGRILAX (125+133.5)MG/5ML(2.5+2.67)% SUSP ORAL FCO X 360ML CEREZA,"$62,279",20048713-3,0,SODIO ALGINATO+SODIO BICARBONATO,#N/D,2021M-0013767-R1
PROQUILAB SAS,CRUZ VERDE,0,AGUA DESTILADA DESIONIZADA PROQUILAB GAR X 20LT,"$80,516",,0,,#N/D,NO REQUIERE
QUIBI SA EN REESTRUCTURACION,CRUZ VERDE,19954947-4,AGUA DESTILADA ESTERIL SUSTANCIA PURA SOL INY BOL X 500ML,"$2,714",19954947-4,0,AGUA PARA INYECCION,#N/D,2022M-0005159-R2
CORPORACION FOMENTO ASISTENCIAL HOSPITAL UNIVERSITARIO SAN VICENTE DE,CRUZ VERDE,22501-10,AGUA DESTILADA ESTERIL SUSTANCIA PURA SOL INY BOL X 500ML CORPAUL,"$3,297",22501-10,0,AGUA PARA INYECCION,#N/D,2019M-007522-R3
ROPSOHN THERAPEUTICS LTDA,CRUZ VERDE,0,AGUA DESTILADA SUSTANCIA PURA SOL INY CAJ X 40AMPACK X 5ML ROPSOHN,"$1,423",,0,AGUA PARA INYECCION,#N/D,2018M-005418-R2
ROPSOHN THERAPEUTICS LTDA,CRUZ VERDE,0,AGUA DESTILADA SUSTANCIA PURA SOL INY CAJ X 40AMPACKX10ML ROPSOHN,"$1,417",,0,AGUA PARA INYECCION,#N/D,2018M-005418-R2
QUIBI SA EN REESTRUCTURACION,CRUZ VERDE,0,AGUA ESTERIL INYECCION SOL INY BOL X 3000ML QUIBI,"$16,483",,0,AGUA PARA INYECCION,#N/D,2022M-0005159-R2
LABORATORIOS BAXTER SA,CRUZ VERDE,38321-2,AGUA ESTERIL IRRIGAC(UROMATIC) SUSTANCIA PURA SOL IRRIG BOL X 3000ML,"$29,064",38321-2,0,AGUA PARA INYECCION,#N/D,2020M-011991-R3
CORPORACION FOMENTO ASISTENCIAL HOSPITAL UNIVERSITARIO SAN VICENTE DE,CRUZ VERDE,22501-5,AGUA ESTERIL SUSTANCIA PURA SOL INY CAJ X 50AMP X 10ML CORPAUL,$785,22501-5,0,AGUA PARA INYECCION,#N/D,2019M-007522-R3
DISTRIBUIDORA SICMAFARMA SAS,CRUZ VERDE,20041806-1,AGUA ESTERIL SUSTANCIA PURA SOL INY CAJ X 50AMP X5ML SICMAFARMA,$533,20041806-1,0,AGUA PARA INYECCION,#N/D,2021M-0013573-R1
LABORATORIOS BAXTER SA,CRUZ VERDE,0,AGUA ESTERIL SUSTANCIA PURA SOL INY BOL X 1000ML,"$5,877",,0,AGUA PARA INYECCION,#N/D,2020M-010787-R2
CORPORACION FOMENTO ASISTENCIAL HOSPITAL UNIVERSITARIO SAN VICENTE DE,CRUZ VERDE,0,AGUA ESTERIL SUSTANCIA PURA SOL INY CAJ X 100AMP X 5ML CORPAUL,$781,,0,AGUA PARA INYECCION,#N/D,2019M-007522-R3
JGB SA,CRUZ VERDE,35578-2,AGUA OXIGENADA 4% SOL TOP FCO X 120ML JGB,"$4,889",35578-2,0,HIDROGENO PEROXIDO,#N/D,2009 M-010971-R2
LA MUELA SAS,CRUZ VERDE,35578-2,AGUA OXIGENADA 4% SOL TOP FCO X 120ML LA MUELA,"$1,677",35578-2,0,HIDROGENO PEROXIDO,#N/D,2009 M-010971-R2
PERCOS SA,CRUZ VERDE,20074262,AGUA TERMAL AVENE FCO X 300ML,"$76,531",20074262,19,,#N/D,NSOC15706-05CO
LM INSTRUMENTS SA,CRUZ VERDE,0,AGUJ SONOPLEX STIM PAJUNK REF 001185-74 SOB X 1 22G X 50MM,"$51,500",,19,,#N/D,2018DM-0018854
BOSTON SCIENTIFIC COLOMBIA LTDA,CRUZ VERDE,0,AGUJA ACCESO PERCUTANEO REF M0067001220 SOB X 1 BOSTON SCIENTIFIC 18G X 20CM,"$158,136",,19,,#N/D,2021DM-0008679-R1
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA ANESTESIA EPIDURAL REF 4512782 CAJ X 25 PERICAN 16G X 3 1/4PULG,"$32,005",,19,,#N/D,2023DM-0001813-R2
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA ANESTESIA INTRADURAL REF 4502051 CAJ X 25SOB PENCAN B BRAUN 27GA X 3.5PULG,"$32,797",,19,,#N/D,2016DM-0000133-R1
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA ANESTESIA INTRADURAL REF 4504917 CAJ X 25 SPINOCAN 26G X 4 3/4PULG,"$29,405",,19,,#N/D,2020DM-4778-R2
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA ANESTESIA INTRADURAL REF 4507401 CAJ X 25 SPINOCAN 22G X 1 1/2PULG,"$19,909",,19,,#N/D,2020DM-4778-R2
RP MEDICAS SA,CRUZ VERDE,0,AGUJA ASPIRADO MEDULA OSEA REF DBMNI1504 SOB X 1 15GX4 PULG,"$91,695",,19,,#N/D,2021DM-0006654-R1
RP MEDICAS SA,CRUZ VERDE,0,AGUJA ASPIRADO MEDULA OSEA REF DBMNI1601 SOB X 1 ARGON 16G X 2.688PULG,"$89,024",,19,,#N/D,2021DM-0006654-R1
DIABETRICS HEALTHCARE S A S,CRUZ VERDE,0,AGUJA AUTOINYECTOR INSULINA CAJ X 100 GLUCOQUICK 31G X 8MM,$131,,19,,#N/D,2017DM-0017303
DIABETRICS HEALTHCARE S A S,CRUZ VERDE,0,AGUJA AUTOINYECTOR INSULINA REF 208592 CAJ X 100 GLUCOQUICK 31G X 4MM,$131,,19,,#N/D,#N/D
DIABETRICS HEALTHCARE S A S,CRUZ VERDE,0,AGUJA AUTOINYECTOR INSULINA REF 208592 CAJ X 100 GLUCOQUICK 31G X 5MM,$131,,19,,#N/D,2017DM-0017303
DIABETRICS HEALTHCARE S A S,CRUZ VERDE,0,AGUJA AUTOINYECTOR INSULINA REF 208592 CAJ X 100 GLUCOQUICK 31G X 6MM,$140,,19,,#N/D,2017DM-0017303
DIABETRICS HEALTHCARE S A S,CRUZ VERDE,0,AGUJA AUTOINYECTOR INSULINA REF 208592 CAJ X 100 GLUCOQUICK 32G X 4MM,$131,,19,,#N/D,2017DM-0017303
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA BD ESPINAL NEEDLES REF 405181 CAJ X 25 0.7MM X 90MM,"$17,249",,19,,#N/D,2015DM-0013654
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA BIOPSIA DES REF MN1410 SOB X 1 BARD 14G X 10CM,"$98,101",,19,,#N/D,2018DM-0002896-R1
RP MEDICAS SA,CRUZ VERDE,0,AGUJA BIOPSIA MEDULA OSEA REF DBMNJ -1304 SOB X 1 13G X 12 CM,"$173,060",,19,,#N/D,2010DM-0006486
RP MEDICAS SA,CRUZ VERDE,0,AGUJA BIOPSIA MEDULA OSEA REF DBMNJ1104TL SOB X 1 ARGON 11G X 4PULG,"$160,781",,19,,#N/D,2010DM-0006486
RP MEDICAS SA,CRUZ VERDE,0,AGUJA BIOPSIA MEDULA OSEA REF DBMNJ-1106 SOB X 1 11GX6 PULG,"$180,878",,19,,#N/D,0
LM INSTRUMENTS SA,CRUZ VERDE,0,AGUJA BLOQ NERVIO PUNTA BICEL REF 001156-71 BOL X 1 22GX80MM,"$42,962",,19,,#N/D,2018DM-0018854
LM INSTRUMENTS SA,CRUZ VERDE,0,AGUJA BLOQ NERVIO PUNTA BICEL REF 001156-74 BOL X 1 22GX50MM,"$47,832",,19,,#N/D,2018DM-0018854
LM INSTRUMENTS SA,CRUZ VERDE,0,AGUJA BLOQ NERVIO PUNTA BICEL REF 001156-75 BOL X 1 24GX25MM,"$46,439",,19,,#N/D,2018DM-0018854
LM INSTRUMENTS SA,CRUZ VERDE,0,AGUJA BLOQ NERVIO PUNTA BICEL REF 001156-76 BOL X 1 20GX150MM,"$48,536",,19,,#N/D,2018DM-0018854
LM INSTRUMENTS SA,CRUZ VERDE,0,AGUJA BLOQ NERVIO PUNTA BICEL REF 001156-77 BOL X 1 21GX100MM,"$38,358",,19,,#N/D,2018DM-0018854
LM INSTRUMENTS SA,CRUZ VERDE,0,AGUJA BLOQ NERVIO SONOPLEX REF 001185-71 BOL X 1 22GX80MM,"$51,500",,19,,#N/D,2018DM-0018854
LM INSTRUMENTS SA,CRUZ VERDE,0,AGUJA BLOQ NERVIO SONOPLEX REF 001185-77 BOL X 1 21GX100MM,"$57,064",,19,,#N/D,2018DM-0018854
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA BLOQUEO VENOSO REF 4894251 CAJ X 25 STIMUPLEX A 24G X 1PULG,"$67,553",,19,,#N/D,2020DM-004786-R2
RP MEDICAS SA,CRUZ VERDE,0,AGUJA CHIBA REF MCN-1808 UND 18GAX20CM,"$65,317",,19,,#N/D,2018DM-0002725-R1
BIOTRONITECH COLOMBIA SA,CRUZ VERDE,0,AGUJA CITOSCOPICA WILLIAMS REF 090001-S10 SOB X 1 COOK MEDICAL 3.7FR X 35CM,"$498,276",,19,,#N/D,2021DM-0007803-R1
BIOPLAST SA,CRUZ VERDE,0,AGUJA DE BIOPSIA SOB X 1 FINE CORE 16G X 100MM,"$96,921",,19,,#N/D,2019DM-0019339
BIOPLAST SA,CRUZ VERDE,0,AGUJA DE BIOPSIA SOB X 1 FINE CORE 16G X 150MM,"$96,921",,19,,#N/D,2019DM-0019339
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA DESECHABLE 20G X 1 PULG REF 302349 SOB X 1 20G X 1 PULG,$188,,19,,#N/D,#N/D
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA DESECHABLE 21G X 1 1/2 P REF 302352 SOB X 1 21G X 1 1/2 PULG,$222,,19,,#N/D,2018DM-0017986
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA DESECHABLE 22G X 1 1/2 P REF 302354 SOB X 1 22G X 1 1/2 PULG,$188,,19,,#N/D,2018DM-0017986
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA DESECHABLE 22G X 1 PULG REF 302353 SOB X 1 22G X 1 PULG,$193,,19,,#N/D,2018DM-0017986
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA DESECHABLE 23G X 1 PULG REF 302355 SOB X 1 23G X 1 PULG,$196,,19,,#N/D,#N/D
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA DESECHABLE 27G X 1 1 /2 REF 302358 SOB X 1 27G X 1 1 /2 PULG,$191,,19,,#N/D,2018DM-0017986
EMBECTA COLOMBIA SAS,CRUZ VERDE,0,AGUJA DESECHABLE PEN REF 320121 CAJ X 100 BD 31GX8MM,$546,,19,,#N/D,2014DM-0011106
EMBECTA COLOMBIA SAS,CRUZ VERDE,0,AGUJA DISP TIPO PLUMA INSULINA REF 320147 CAJ X 100 BD ULTRA-FINE 31G X 5MM,$422,,19,,#N/D,2014DM-0011106
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA ESPINAL PUNTA DE LAPIZ 2 REF 405138 SOB X 1 25G X 3 1/2 PULG,"$30,146",,19,,#N/D,2015DM-0013654
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA ESPINAL PUNTA QUINCKE REF 405164 CAJ X 25 BD 26G X 3 1/2PULG,"$17,962",,19,,#N/D,2015DM-0013654
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA ESPINAL REF 405259 CAJ X 25 BD 27G X 3 1/2PULG,"$17,962",,19,,#N/D,2015DM-0013654
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA ESPINAL REF 409443 CAJ X 10 BD WHITACRE 27G X 4 11/16PULG,"$31,905",,19,,#N/D,2015DM-0013654
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA ESTERIL DESECHABLE REF 302347 SOB X 1 BD PRECISIONGLIDE 18G X 1 1/2 PULG,$2,,19,,#N/D,#N/D
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA HIPODERMIC PUERTO ACCESO REF 04448340 CAJ X 15 SURECAN 20G X 20MM,"$52,681",,19,,#N/D,2017DM-001995-R2
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA HIPODERMIC PUERTO ACCESO REF 04448383 CAJ X 15 SURECAN 22G X 15MM,"$52,681",,19,,#N/D,2017DM-001995-R2
ALFA TRADING SAS,CRUZ VERDE,0,AGUJA HIPODERMICA REF AGHI003 CAJ X 100 ALFASAFE 18G11/2,$84,,19,,#N/D,2018DM-0001797-R1
ALFA TRADING SAS,CRUZ VERDE,0,AGUJA HIPODERMICA REF AGHI005 CAJ X 100 ALFASAFE 21G11/2,$84,,19,,#N/D,2018DM-0001797-R1
ALFA TRADING SAS,CRUZ VERDE,0,AGUJA HIPODERMICA REF AGHI007 CAJ X 100 ALFASAFE 23G11/2,$84,,19,,#N/D,2018DM-0001797-R1
ALFA TRADING SAS,CRUZ VERDE,0,AGUJA HIPODERMICA REF AGHI010 CAJ X 100 ALFASAFE 26G 1/2,$84,,19,,#N/D,2018DM-0001797-R1
ALFA TRADING SAS,CRUZ VERDE,0,AGUJA HIPODERMICA REF AGHI011 CAJ X 100 ALFASAFE 27G 1/2,$91,,19,,#N/D,2018DM-0001797-R1
LIFE CARE SOLUTIONS SAS,CRUZ VERDE,0,AGUJA HIPODERMICA CAJ X 100 22G X 1 PULG 1/2 PULG,$71,,19,,#N/D,2013DM-0010773
LIFE CARE SOLUTIONS SAS,CRUZ VERDE,0,AGUJA HIPODERMICA CAJ X 100 LIFE CARE 18G X 1 1/2 PULG,$76,,19,,#N/D,2013DM-0010773
LIFE CARE SOLUTIONS SAS,CRUZ VERDE,0,AGUJA HIPODERMICA CAJ X 100 LIFE CARE 25G X 5/8 PULG,$73,,19,,#N/D,2013DM-0010773
LIFE CARE SOLUTIONS SAS,CRUZ VERDE,0,AGUJA HIPODERMICA CAJ X 100 LIFE CARE 27G X 0.5 PULG,$68,,19,,#N/D,2013DM-0010773
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA HIPODERMICA DESECHABLE REF 305108 CAJ X 100 BD PRECISIONGLIDE 30G X 1PULG,$271,,19,,#N/D,2018DM-0017986
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA HIPODERMICA ESTERIL REF 305107 CAJ X 100 BD PRECISIONGLIDE 30G X 1/2PULG,$271,,19,,#N/D,2018DM-0017986
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA HIPODERMICA ESTERIL REF 305189 CAJ X 100 BD PRECISIONGLIDE 19G X 1 1/2PULG,$252,,19,,#N/D,2018DM-0017986
PHARMEUROPEA DE COLOMBIA,CRUZ VERDE,0,AGUJA HIPODERMICA REF N-N11 CAJ X 100 LUER LOCK/LUER SLIP 25X5/8 PULG,$112,,19,,#N/D,2021DM-0024013
PHARMEUROPEA DE COLOMBIA,CRUZ VERDE,0,AGUJA HIPODERMICA REF N-N12 CAJ X 100 LUER LOCK/LUER SLIP 26X1/2 PULG,$114,,19,,#N/D,2021DM-0024013
PHARMEUROPEA DE COLOMBIA,CRUZ VERDE,0,AGUJA HIPODERMICA REF N-N13 CAJ X 100 LUER LOCK/LUER SLIP 27X1/2 PULG,$112,,19,,#N/D,2021DM-0024013
PHARMEUROPEA DE COLOMBIA,CRUZ VERDE,0,AGUJA HIPODERMICA REF N-N19 CAJ X 100 LUER LOCK/LUER SLIP 16X1 1/2 PULG,$195,,19,,#N/D,2021DM-0024013
PHARMEUROPEA DE COLOMBIA,CRUZ VERDE,0,AGUJA HIPODERMICA REF N-N1A CAJ X 100 LUER LOCK/LUER SLIP 25X1 PULG,$132,,19,,#N/D,2021DM-0024013
PHARMEUROPEA DE COLOMBIA,CRUZ VERDE,0,AGUJA HIPODERMICA REF N-N1F CAJ X 100 LUER LOCK/LUER SLIP 18X1 PULG,$151,,19,,#N/D,2021DM-0024013
PHARMEUROPEA DE COLOMBIA,CRUZ VERDE,0,AGUJA HIPODERMICA REF N-N1G CAJ X 100 LUER LOCK/LUER SLIP NUBENCO 18GX1 1/2 PULG ROSADA,$177,,19,,#N/D,2021DM-0024013
PHARMEUROPEA DE COLOMBIA,CRUZ VERDE,0,AGUJA HIPODERMICA REF N-N1L CAJ X 100 LUER LOCK/LUER SLIP 20X1 PULG,$112,,19,,#N/D,2021DM-0024013
PHARMEUROPEA DE COLOMBIA,CRUZ VERDE,0,AGUJA HIPODERMICA REF N-N1M CAJ X 100 LUER LOCK/LUER SLIP 20X1 1/2 PULG,$144,,19,,#N/D,2021DM-0024013
PHARMEUROPEA DE COLOMBIA,CRUZ VERDE,0,AGUJA HIPODERMICA REF N-N1Q CAJ X 100 LUER LOCK/LUER SLIP 21X1 1/2 PULG,$141,,19,,#N/D,2021DM-0024013
PHARMEUROPEA DE COLOMBIA,CRUZ VERDE,0,AGUJA HIPODERMICA REF N-N1S CAJ X 100 LUER LOCK/LUER SLIP 22X1 PULG,$141,,19,,#N/D,2021DM-0024013
PHARMEUROPEA DE COLOMBIA,CRUZ VERDE,0,AGUJA HIPODERMICA REF N-N1V CAJ X 100 LUER LOCK/LUER SLIP 23X1 PULG,$141,,19,,#N/D,2021DM-0024013
PHARMEUROPEA DE COLOMBIA,CRUZ VERDE,0,AGUJA HIPODERMICA REF N-N1W CAJ X 100 LUER LOCK/LUER SLIP 23X1 1/2 PULG,$141,,19,,#N/D,2021DM-0024013
PHARMEUROPEA DE COLOMBIA,CRUZ VERDE,0,AGUJA HIPODERMICA REF N-N1Y CAJ X 100 LUER LOCK/LUER SLIP 24X1 PULG,$141,,19,,#N/D,2021DM-0024013
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA HIPODERMICA WINGED REF 04448375 CAJ X 15 SURECAN 22G X 12MM,"$52,681",,19,,#N/D,2017DM-001995-R2
GASTROFLEX SAS,CRUZ VERDE,0,AGUJA INYECCION ESCLEROTERAPIA REF GF252203 SOB X 1 G-FLEX CALIBRA 2300MM X 5MM X 0.7MM X 22GA,"$146,335",,19,,#N/D,2013DM-0010041
VYGON COLOMBIA SA,CRUZ VERDE,0,AGUJA LOCOPLEX REF 5194-103 SOB X 1 VYGON 21GX100MM,"$35,752",,19,,#N/D,2009DM-0005106
VYGON COLOMBIA SA,CRUZ VERDE,0,AGUJA LOCOPLEX REF 5194-253 SOB X 1 VYGON 23GX25MM,"$42,949",,19,,#N/D,2009DM-0005106
VYGON COLOMBIA SA,CRUZ VERDE,0,AGUJA LOCOPLEX REF 5194-503 SOB X 1 VYGON 21GX50MM,"$45,244",,19,,#N/D,2009DM-0005106
EMBECTA COLOMBIA SAS,CRUZ VERDE,0,AGUJA NANO AUTO INYECTOR REF 320489 CAJ X 100 BD ULTRA-FINE 4MM X 0.23MM,$546,,19,,#N/D,2018DM-0017818
NOVO NORDISK COLOMBIA S A S,CRUZ VERDE,0,AGUJA NOVOFINE CAJ X 100 31G X6MM,$371,,19,,#N/D,2017DM-0000198-R1
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA PARA ANESTESIA ESPINAL REF 4502043 CAJ X 25SOB PENCAN 25GA X 3/1PULG,"$32,797",,19,,#N/D,2016DM-0000133-R1
NORSTRAY NUART SAS,CRUZ VERDE,0,AGUJA PARA PLUMA DE INSULINA REF MH2010 CAJ X 100 M&H CARE 32G X 4MM,$141,,19,,#N/D,#N/D
NORSTRAY NUART SAS,CRUZ VERDE,0,AGUJA PARA PLUMA DE INSULINA REF MH2011 CAJ X 100 M&H CARE 31G X 5MM,$141,,19,,#N/D,2020DM-0021616
NORSTRAY NUART SAS,CRUZ VERDE,0,AGUJA PARA PLUMA DE INSULINA REF MH2012 CAJ X 100 M&H CARE 31G X 6MM,$141,,19,,#N/D,2017DM-0016258
NORSTRAY NUART SAS,CRUZ VERDE,0,AGUJA PARA PLUMA DE INSULINA REF MH2013 CAJ X 100 M&H CARE 31G X 4MM,$141,,19,,#N/D,2017DM-0016258
ALFA TRADING SAS,CRUZ VERDE,0,AGUJA PEN NEEDLE ALFA SAFE REF AGPE002 TIPO 810 CAJ X 100 32GX4MM,$247,,19,,#N/D,2021DM-0023014
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA PERICAN REF 4512383 SOB X 1 B BRAUN 18G X 3 1/4PULG,"$32,005",,19,,#N/D,2023DM-0001813-R2
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA QUINCKE ANESTESI ESPINAL REF 405184 CAJ X 25 BD 18G X 3.5PULG,"$15,067",,19,,#N/D,2015DM-0013654
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA SEMIAUTOMATICA MISSION REF 1610MS SOB X 1 BARD 16GX10CM,"$174,573",,19,,#N/D,2015DM-0014050
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA SEMIAUTOMATICA MISSION REF 1810MS SOB X 1 BARD 18GX10CM,"$182,888",,19,,#N/D,2015DM-0014050
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA SEMIAUTOMATICA MISSION REF 1810MSK SOB X 1 BARD 18GX10CM,"$255,993",,19,,#N/D,2015DM-0014050
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA SPINOCAN 25G X 3 1/2 PU REF 4505905 SOB X 1 B BRAUN 25G X 3 1/2 PULG,"$18,313",,19,,#N/D,2020DM-4778-R2
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA SPINOCAN 26G X 3 1/2 PU REF 4502906 SOB X 1 B BRAUN 26G X 3 1/2 PULG,"$18,313",,19,,#N/D,2010DM-4778-R1
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA SPINOCAN 27G X 3 1/2 PU REF 4503902 SOB X 1 B BRAUN 27G X 3 1/2 PULG,$733,,19,,#N/D,2020DM-4778-R2
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA SPINOCAN REF 4501390 SOB X 1 B BRAUN 18G X 3 1/2 PULG,"$18,313",,19,,#N/D,2010DM-4778-R1
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA SPINOCAN REF 4507908 SOB X 1 B BRAUN 22G X 3 1/2 PULG,"$18,313",,19,,#N/D,2020DM-4778-R2
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA SPINOCAN REF 4509900 SOB X 1 B BRAUN 20G X 3 1/2 PULG,"$18,313",,19,,#N/D,2020DM-4778-R2
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA STIMUPLEX ULTRA 360 REF 4892505-04 CAJ X 25,"$67,540",,19,,#N/D,2010DM-004786-R1
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA STIMUPLEX ULTRA 360 REF 4892508-04 CAJ X 25,"$67,540",,19,,#N/D,2010DM-004786-R1
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA STIMUPLEX ULTRA 360 REF 4892510-04 CAJ X 25,"$67,540",,19,,#N/D,2010DM-004786-R1
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA SURECAN CON ALAS REF 04448332 CAJ X 15 20G X 15MM,"$52,681",,19,,#N/D,2017DM-001995-R2
B BRAUN MEDICAL SA,CRUZ VERDE,0,AGUJA SURECAN CON ALAS REF 4448391 SOB X 1 B BRAUN 22G X 20MM,"$52,680",,19,,#N/D,2017DM-001995-R2
VJ CARDIOSISTEMAS SAS,CRUZ VERDE,0,AGUJA TRUCUT SEMIAUT COAXIAL BIOPSIA TEJ BLANDOS REF PRE1410 SOB X 1 HS HOSPITAL SERVICE 14G X 100MM,"$188,732",,19,,#N/D,#N/D
BECTON DICKINSON DE COLOMBIA LTDA,CRUZ VERDE,0,AGUJA WHITACRE ANESTES ESPINAL REF 405079 CAJ X 10 BD 27G X 3.5PULG,"$32,530",,19,,#N/D,2015DM-0013654
BIOPLAST SA,CRUZ VERDE,0,AGUJA/BIOPSIA UND FINE CORE 14G X 100MM,"$96,921",,19,,#N/D,0
INDUSTRIAS CARDIOMED SAS,CRUZ VERDE,0,AGUJAS BIOPSIA UNIGUN REF UG14100 SOB X 1 MEDAX MEDICAL 14G X 100MM VERDE,"$57,687",,19,,#N/D,2015DM-0013268
INDUSTRIAS CARDIOMED SAS,CRUZ VERDE,0,AGUJAS BIOPSIA UNIGUN REF UG16100 SOB X 1 MEDAX MEDICAL 16G X 100MM BLANCA,"$59,665",,19,,#N/D,2015DM-0013268
INDUSTRIAS CARDIOMED SAS,CRUZ VERDE,0,AGUJAS BIOPSIA UNIGUN REF UG16200 SOB X 1 MEDAX MEDICAL 16G X 200MM BLANCA,"$57,687",,19,,#N/D,2015DM-0013268
INDUSTRIAS CARDIOMED SAS,CRUZ VERDE,0,AGUJAS BIOPSIA UNIGUN REF UG18200 SOB X 1 MEDAX MEDICAL 18G X 200MM ROSADA,"$59,665",,19,,#N/D,2015DM-0013268
KEDRION DE COLOMIA SAS,CRUZ VERDE,230598-1,AIMAFIX 500UI POLV INY INST CAJ X 1VIAL + DIL X 10ML,"$287,442",230598-1,0,FACTOR IX PLASMATICO,858310,2021M-013380-R2
BIOQUIFAR PHARMACEUTICA SA,CRUZ VERDE,20012191-3,AIRCYS 10MG TAB REC INST CAJ X 30,$719,20012191-3,0,MONTELUKAST,2521,2020M-0010303-R1
LABORATORIO INTERNACIONAL DE COLOMBIA SA LABINCO SA,CRUZ VERDE,20044925-2,AIRFLEX 2MG TAB INST CAJ X 20,$262,20044925-2,0,TIZANIDINA,#N/D,2020M-0013762-R1
LABORATORIOS CHALVER DE COLOMBIA SA,CRUZ VERDE,0,AIRMAX HFA INH BUCAL 100MCG/DOSIS SUSP INH ORAL INST FCO X 200DOSIS,"$4,713",,0,SALBUTAMOL,#N/D,#N/D
NOVAMED SA,CRUZ VERDE,20034491-9,AIROMED 10MG TAB REC INST CAJ X 30,"$2,344",20034491-9,0,MONTELUKAST,2521,2020M-0013363-R1
NOVAMED SA,CRUZ VERDE,20039346-8,AIROMED 4MG/SOB GRAN SUSP ORAL CAJ X 30SOB LULO,"$4,930",20039346-8,0,MONTELUKAST,#N/D,2017M-0013348-R1
NOVAMED SA,CRUZ VERDE,0,AIROMED 4MG/SOB GRAN SUSP ORAL INST CAJ X 30SOB LULO,"$1,002",,0,MONTELUKAST,#N/D,2017M-0013348-R1
NOVAMED SA,CRUZ VERDE,20057955-3,AIROMED 5MG TAB MAST INST CAJ X 30 FRESA,"$1,097",20057955-3,0,MONTELUKAST,1260,2020M-0014289-R1
NOVAMED SA,CRUZ VERDE,20057955-6,AIROMED 5MG TAB MAST INST CAJ X 90 FRESA,"$1,098",20057955-6,0,MONTELUKAST,1260,2020M-0014289-R1
NEVOX FARMA SA,CRUZ VERDE,20131949-1,AKRIBACT 200MG/5ML(4%) POLV SUSP ORAL INST FCO X 15ML,"$6,300",20131949-1,0,AZITROMICINA,#N/D,2019M-0019465
AL PHARMA SAS,CRUZ VERDE,20132662-1,AL DAUNO 20MG POLV INY VIAL X 1,"$55,791",20132662-1,0,DAUNORUBICINA,#N/D,2020M-0019644
AL PHARMA SAS,CRUZ VERDE,0,AL OXA 100MG/20ML(5MG/ML) SOL INY CAJ X 1VIAL X 20ML,"$100,366",,0,OXALIPLATINO,#N/D,2020M-0019783
