proveedor,centro_distribucion,laboratorio,cum,descripcion,precio_proveedor,principio_activo,precio_maximo_venta,circular_origen,ratio_precio_vs_regulado,diferencia_valor,diferencia_pct
DISFARMA,GIRON,LEGRAND,20127417-02,PRAMIPEXOL 0.75MG TAB LIB PRO CX30 (PRAMIXOLE ER) - LEGRAND,42900,PRAMIPEXOL,140705.325,Circular 19 de 2024,0.3048925120637758,-97805.32500000001,-69.51074879362243
DISFARMA,CALI,LEGRAND,20127419-04,PRAMIPEXOL 0.375MG TAB LIB PRO CX30 (PRAMIXOLE ER) - LEGRAND,21360,PRAMIPEXOL,70352.6625,Circular 19 de 2024,0.3036132427823893,-48992.662500000006,-69.63867572176106
DISFARMA,GIRON,LEGRAND,20127419-04,PRAMIPEXOL 0.375MG TAB LIB PRO CX30 (PRAMIXOLE ER) - LEGRAND,21360,PRAMIPEXOL,70352.6625,Circular 19 de 2024,0.3036132427823893,-48992.662500000006,-69.63867572176106
DISFARMA,CALI,GALENICUM,20128081-02,DUTASTERIDA 0.5MG CAP CX30 (DUTASVITAE) - GALENICUM,22650,DUTASTERIDA,65459.7,Circular 19 de 2024,0.3460144180312467,-42809.7,-65.39855819687533
DISFARMA,GIRON,GALENICUM,20128081-02,DUTASTERIDA 0.5MG CAP CX30 (DUTASVITAE) - GALENICUM,22650,DUTASTERIDA,65459.7,Circular 19 de 2024,0.3460144180312467,-42809.7,-65.39855819687533
DISFARMA,BOGOTA,PINT PHARMA,20129443-01,PONATINIB 15MG TAB FCOX30 CX1 (ICLUSIG) - PINT PHARMA,7416000,PONATINIB,7433959.5,Circular 19 de 2024,0.9975841272743011,-17959.5,-0.2415872725698869
DISFARMA,CALI,PINT PHARMA,20129443-01,PONATINIB 15MG TAB FCOX30 CX1 (ICLUSIG) - PINT PHARMA,7416000,PONATINIB,7433959.5,Circular 19 de 2024,0.9975841272743011,-17959.5,-0.2415872725698869
DISFARMA,GIRON,PINT PHARMA,20129443-01,PONATINIB 15MG TAB FCOX30 CX1 (ICLUSIG) - PINT PHARMA,7416000,PONATINIB,7433959.5,Circular 19 de 2024,0.9975841272743011,-17959.5,-0.2415872725698869
DISFARMA,BOGOTA,DR. REDDYS,20129724-01,RIVAROXABAN 20MG TAB CX30 (VAROXRED) - DR. REDDYS,22260,RIVAROXABAN,222960.0,Circular 19 de 2024,0.09983853606027987,-200700.0,-90.01614639397201
DISFARMA,CALI,DR. REDDYS,20129724-01,RIVAROXABAN 20MG TAB CX30 (VAROXRED) - DR. REDDYS,22260,RIVAROXABAN,222960.0,Circular 19 de 2024,0.09983853606027987,-200700.0,-90.01614639397201
DISFARMA,GIRON,DR. REDDYS,20129724-01,RIVAROXABAN 20MG TAB CX30 (VAROXRED) - DR. REDDYS,22260,RIVAROXABAN,222960.0,Circular 19 de 2024,0.09983853606027987,-200700.0,-90.01614639397201
