cum,precio_maximo_venta
20039756-13,607800.0
20056796-1,607800.0
20056796-2,607800.0
20076657-1,85092.0
20039756-3,85092.0
20039756-4,121560.0
20076657-2,170184.0
20041786-1,170184.0
20039756-5,170184.0
20076657-3,182340.0
20041786-2,182340.0
20086962-1,182340.0
20086962-2,182340.0
20039756-6,182340.0
20076657-10,1823400.0
20041786-3,243120.0
20076657-4,303900.0
20041786-4,303900.0
20039756-7,303900.0
20076657-11,3039000.0
20076657-5,340368.0
20039756-8,340368.0
20076657-6,364680.0
20039756-9,364680.0
20039756-1,42546.0
20076657-7,510552.0
20039756-10,510552.0
20076657-8,547020.0
20039756-11,547020.0
20039756-12,595644.0
20075488-1,182340.0
19993886-1,60780.0
19993886-4,607800.0
19993886-2,121560.0
19993886-3,182340.0
206742-1,170184.0
206742-2,170184.0
206742-3,170184.0
20008399-1,60780.0
20008399-5,60780.0
20008399-3,12156.0
20008399-2,182340.0
20008399-4,30390.0
20060326-1,170184.0
20092750-1,182340.0
20057635-1,170184.0
20135463-5,85092.0
20135463-2,170184.0
20135463-3,182340.0
20135463-4,42546.0
20135463-1,85092.0
19910957-1,85092.0
19910957-6,85092.0
19910957-2,91170.0
19910957-3,170184.0
19910957-7,170184.0
19910957-4,182340.0
19910957-5,42546.0
20049640-1,589574.0
20049640-15,589574.0
20049640-16,589574.0
20049640-2,589574.0
20049640-3,589574.0
20049640-4,589574.0
20049640-10,5895740.0
20049640-11,5895740.0
20049640-12,5895740.0
20049640-13,5895740.0
20049640-14,5895740.0
20049640-17,5895740.0
20049640-18,5895740.0
20049640-5,5895740.0
20049640-6,5895740.0
20049640-7,5895740.0
20049640-8,5895740.0
20049640-9,5895740.0
20060249-1,589574.0
20060249-2,589574.0
20087555-1,589574.0
20011488-1,1179148.0
20011486-1,589574.0
20081871-1,1179148.0
20009425-1,589574.0
20081868-1,589574.0
20009425-4,5895740.0
20009425-2,2947870.0
20009425-3,4127018.0
19993884-1,589574.0
19993884-4,5895740.0
19993884-5,11791480.0
19993884-2,2358296.0
19993884-6,29478700.0
19993884-3,4716592.0
20018847-1,589574.0
20008546-1,589574.0
20002231-1,589574.0
20002231-4,5895740.0
20002231-6,58957400.0
20002231-2,2947870.0
20002231-5,29478700.0
33807-1,589574.0
20081740-1,589574.0
20147506-1,589574.0
20192678-1,482788.0
19981452-1,482788.0
19981452-2,482788.0
19981452-5,482788.0
19981452-9,482788.0
19981452-4,4827880.0
19981452-7,4827880.0
19981452-3,2413940.0
19981452-6,2413940.0
19981452-12,482788.0
19981452-8,482788.0
19981452-11,4827880.0
19981452-14,4827880.0
19981452-10,2413940.0
19981452-13,2413940.0
20188746-1,482788.0
20103221-1,17414.85
20063439-2,174148.5
20063439-3,348297.0
20063439-4,522445.5
20063439-1,17414.85
20063439-5,17414.85
20103221-9,17414.85
20103221-8,104489.1
20080147-5,104489.1
20080147-13,139318.8
20080147-6,139318.8
20103221-2,17414.85
20080147-1,17414.85
20080147-2,17414.85
20080147-9,17414.85
20080147-14,174148.5
20080147-7,174148.5
20080147-15,208978.2
20080147-8,208978.2
20103221-3,26122.28
20103221-4,34829.7
20080147-10,34829.7
20080147-3,34829.7
20103221-5,52244.55
20080147-16,52244.55
20080147-17,52244.55
20103221-6,69659.4
20080147-11,69659.4
20080147-4,69659.4
20104469-1,17414.85
20104469-10,17414.85
20104469-18,17414.85
20104469-2,17414.85
20104469-27,17414.85
20104469-16,174148.5
20104469-24,174148.5
20104469-8,174148.5
20104469-17,208978.2
20104469-25,208978.2
20104469-26,208978.2
20104469-9,208978.2
20104469-11,34829.7
20104469-19,34829.7
20104469-3,34829.7
20104469-12,52244.55
20104469-20,52244.55
20104469-4,52244.55
20104469-13,69659.4
20104469-21,69659.4
20104469-5,69659.4
20104469-14,104489.1
20104469-22,104489.1
20104469-28,104489.1
20104469-6,104489.1
20104469-15,139318.8
20104469-23,139318.8
20104469-7,139318.8
19977706-1,17414.85
19977706-2,17414.85
20014912-1,17414.85
19961092-1,17414.85
20167243-1,17414.85
20167243-8,17414.85
20167239-8,139318.8
20167239-1,17414.85
20167239-9,17414.85
20167239-4,174148.5
20167239-2,34829.7
20167239-3,69659.4
19996115-1,17414.85
20167239-5,348297.0
20167243-7,17414.85
20167243-5,174148.5
20167243-6,348297.0
20167243-3,69659.4
20167243-4,139318.8
20095174-1,17414.85
20130706-1,17414.85
20130706-2,17414.85
19989785-9,870742.5
19989785-6,17414.85
19989785-10,1741485.0
19989785-7,34829.7
19989785-8,435371.25
19989785-4,870742.5
19989785-2,17414.85
19989785-5,1741485.0
19989785-3,435371.25
19989785-11,17414.85
19989785-1,34829.7
20097975-1,17414.85
20097975-5,17414.85
20097975-2,34829.7
20097975-3,52244.55
20097975-4,69659.4
19979560-1,17414.85
20023279-1,17414.85
20023279-2,174148.5
20023279-5,174148.5
20023279-7,174148.5
20023279-4,1741485.0
20023279-3,870742.5
20023279-8,870742.5
20062770-1,17414.85
19948263-1,17414.85
19948263-2,17414.85
19981398-1,17414.85
19999383-1,17414.85
19999383-2,17414.85
20067960-1,17414.85
20122840-1,17414.85
20067960-2,17414.85
20107152-1,17414.85
20156898-1,17414.85
20156900-1,17414.85
20119870-1,17414.85
19987914-1,17414.85
19987914-2,17414.85
20052210-15,87074.25
20052210-24,87074.25
20052210-31,87074.25
20052210-9,87074.25
20052210-11,17414.85
20052210-17,17414.85
20052210-19,17414.85
20052210-20,17414.85
20052210-27,17414.85
20052210-3,17414.85
20052210-5,17414.85
20052210-10,174148.5
20052210-16,174148.5
20052210-26,174148.5
20052210-32,174148.5
20052210-12,34829.7
20052210-18,34829.7
20052210-2,34829.7
20052210-21,34829.7
20052210-28,34829.7
20052210-6,34829.7
20052210-13,52244.55
20052210-22,52244.55
20052210-29,52244.55
20052210-7,52244.55
20052210-14,69659.4
20052210-23,69659.4
20052210-30,69659.4
20052210-8,69659.4
20052210-1,17414.85
19909989-2,87074.25
19909989-5,870742.5
19909989-1,17414.85
19909989-3,174148.5
19909989-4,435371.25
19986358-1,17414.85
20099554-1,17414.85
20022331-1,17414.85
20022334-1,17414.85
20022334-2,17414.85
19960242-1,17414.85
19960242-2,17414.85
20103221-7,174148.5
20080147-12,104489.1
19951553-6,870742.5
19951553-12,17414.85
19951553-14,174148.5
19951553-2,174148.5
19951553-4,174148.5
19951553-8,174148.5
19951553-10,34829.7
19951553-11,34829.7
19951553-15,348297.0
19951553-3,348297.0
19951553-5,348297.0
19951553-9,348297.0
19951553-13,69659.4
19951553-7,69659.4
19951553-1,17414.85
19977582-1,17414.85
19977582-2,17414.85
19977582-10,174148.5
19977582-3,174148.5
19977582-11,348297.0
19977582-4,348297.0
19977582-6,69659.4
19977582-7,69659.4
19977582-9,69659.4
19977582-5,870742.5
19977582-8,139318.8
20033270-1,17414.85
20033270-2,17414.85
19908046-2,17414.85
19908046-3,17414.85
19908046-1,17414.85
19965149-1,17414.85
19965149-2,17414.85
19965149-3,17414.85
19965149-4,17414.85
19965149-5,17414.85
19968924-1,17414.85
20131311-1,17414.85
20021340-1,17414.85
20013627-1,17414.85
20014969-1,17414.85
20099554-2,17414.85
20102114-1,17414.85
20102114-2,17414.85
20071862-1,17414.85
20004822-1,104389.14
20004822-3,104389.14
20004822-2,1043891.4
20004822-4,1043891.4
20004822-5,10438914.0
54757-3,27817660.0
54757-1,55635320.0
54757-2,11127064.0
19918430-1,2781766.0
113757-1,695441.5
113757-2,695441.5
20106273-1,137814.0
20106273-2,137814.0
19999612-1,105657.4
20016452-1,137814.0
20016452-2,137814.0
20178975-1,1378140.0
20142890-2,137814.0
20142890-1,137814.0
19945183-2,94266.6
20126580-1,94266.6
20117190-1,13230.4
20117190-3,13230.4
20117190-2,66152.0
19996127-1,13970.0
19996127-8,1397000.0
19996127-5,195580.0
19996127-9,2095500.0
19996127-2,27940.0
19996127-6,293370.0
19996127-3,69850.0
19996127-7,698500.0
19996127-4,97790.0
19996390-9,349250.0
19996390-1,3492.5
19996390-5,48895.0
19996390-10,523875.0
19996390-2,6985.0
19996390-6,73342.5
19996390-3,17462.5
19996390-7,174625.0
19996390-4,24447.5
19996118-1,6286.5
19996118-9,628650.0
19996118-11,88011.0
19996118-10,942975.0
19996118-2,12573.0
19996118-7,132016.5
19996118-3,31432.5
