cum,precio_maximo_venta,circular_origen
20097020-03,739578.03,Circular 19 de 2024
20097020-02,1479156.06,Circular 19 de 2024
20097020-04,1479156.06,Circular 19 de 2024
20097020-05,739578.03,Circular 19 de 2024
20117604-01,739578.03,Circular 19 de 2024
20117604-03,739578.03,Circular 19 de 2024
20117604-02,1479156.06,Circular 19 de 2024
20117604-04,1479156.06,Circular 19 de 2024
16232-01,27147.8,Circular 19 de 2024
19954356-01,54295.6,Circular 19 de 2024
19954356-02,54295.6,Circular 19 de 2024
19954356-03,54295.6,Circular 19 de 2024
19954356-04,54295.6,Circular 19 de 2024
229585-01,13573.9,Circular 19 de 2024
19979978-01,231300.0,Circular 19 de 2024
20124772-04,231300.0,Circular 19 de 2024
20124772-01,2313000.0,Circular 19 de 2024
20124772-02,1156500.0,Circular 19 de 2024
19910741-01,1156500.0,Circular 19 de 2024
20028530-01,231300.0,Circular 19 de 2024
20028530-04,23130000.0,Circular 19 de 2024
20028530-02,5782500.0,Circular 19 de 2024
20028530-03,11565000.0,Circular 19 de 2024
20039895-01,46260.0,Circular 19 de 2024
20093133-12,9252.0,Circular 19 de 2024
27612-01,1156500.0,Circular 19 de 2024
20256489-01,1156500.0,Circular 19 de 2024
20007880-01,146207.72,Circular 19 de 2024
20007880-02,146207.72,Circular 19 de 2024
33103-01,3655193.0,Circular 19 de 2024
33103-02,3655193.0,Circular 19 de 2024
20194011-01,12885996.0,Circular 19 de 2024
20194009-01,6442998.0,Circular 19 de 2024
20187632-02,8590664.0,Circular 19 de 2024
20187632-03,12885996.0,Circular 19 de 2024
20187632-04,38657988.0,Circular 19 de 2024
20187632-01,4295332.0,Circular 19 de 2024
20187752-02,4295332.0,Circular 19 de 2024
20187752-03,6442998.0,Circular 19 de 2024
20187752-04,19328994.0,Circular 19 de 2024
20187752-01,2147666.0,Circular 19 de 2024
20135959-01,4295332.0,Circular 19 de 2024
20135959-07,4295332.0,Circular 19 de 2024
20135959-04,859066.4,Circular 19 de 2024
20135959-02,8590664.0,Circular 19 de 2024
20135959-03,12885996.0,Circular 19 de 2024
20135959-05,1718132.8,Circular 19 de 2024
20135959-06,2577199.2,Circular 19 de 2024
20135956-01,2147666.0,Circular 19 de 2024
20135956-07,2147666.0,Circular 19 de 2024
20135956-04,429533.2,Circular 19 de 2024
20135956-02,4295332.0,Circular 19 de 2024
20135956-03,6442998.0,Circular 19 de 2024
20135956-05,859066.4,Circular 19 de 2024
20135956-06,1288599.6,Circular 19 de 2024
20113625-02,4295332.0,Circular 19 de 2024
20113625-03,4295332.0,Circular 19 de 2024
20113625-06,4295332.0,Circular 19 de 2024
20113625-07,4295332.0,Circular 19 de 2024
20113625-01,12885996.0,Circular 19 de 2024
20113625-04,12885996.0,Circular 19 de 2024
20113625-05,12885996.0,Circular 19 de 2024
20113625-08,12885996.0,Circular 19 de 2024
20113625-09,1718132.8,Circular 19 de 2024
20113623-02,2147666.0,Circular 19 de 2024
20113623-04,2147666.0,Circular 19 de 2024
20113623-01,6442998.0,Circular 19 de 2024
20113623-03,6442998.0,Circular 19 de 2024
20113623-05,859066.4,Circular 19 de 2024
20151852-01,4295332.0,Circular 19 de 2024
20151852-03,4295332.0,Circular 19 de 2024
20151852-02,12885996.0,Circular 19 de 2024
20151854-01,2147666.0,Circular 19 de 2024
20151854-03,2147666.0,Circular 19 de 2024
20151854-02,6442998.0,Circular 19 de 2024
20121385-01,4295332.0,Circular 19 de 2024
20121385-02,12885996.0,Circular 19 de 2024
20121384-01,2147666.0,Circular 19 de 2024
20121384-02,6442998.0,Circular 19 de 2024
20140495-01,12885996.0,Circular 19 de 2024
20140491-01,6442998.0,Circular 19 de 2024
20200038-04,51543984.0,Circular 19 de 2024
20200038-02,25771992.0,Circular 19 de 2024
20200038-03,38657988.0,Circular 19 de 2024
20200038-01,1288599.6,Circular 19 de 2024
20199803-04,25771992.0,Circular 19 de 2024
20199803-02,12885996.0,Circular 19 de 2024
20199803-03,19328994.0,Circular 19 de 2024
20199803-01,644299.8,Circular 19 de 2024
20001582-01,12885996.0,Circular 19 de 2024
20001582-02,12885996.0,Circular 19 de 2024
20001583-01,6442998.0,Circular 19 de 2024
20001583-02,6442998.0,Circular 19 de 2024
20151852-04,4295332.0,Circular 19 de 2024
20151852-06,4295332.0,Circular 19 de 2024
20151852-05,12885996.0,Circular 19 de 2024
20151854-04,2147666.0,Circular 19 de 2024
20151854-06,2147666.0,Circular 19 de 2024
20151854-05,6442998.0,Circular 19 de 2024
20060001-01,39630.0,Circular 19 de 2024
19933951-01,138705.0,Circular 19 de 2024
19933951-07,138705.0,Circular 19 de 2024
19933951-08,138705.0,Circular 19 de 2024
19933951-09,138705.0,Circular 19 de 2024
19933951-02,27741.0,Circular 19 de 2024
19933951-06,277410.0,Circular 19 de 2024
19933951-03,55482.0,Circular 19 de 2024
19933951-04,83223.0,Circular 19 de 2024
19933951-05,110964.0,Circular 19 de 2024
20043022-01,138705.0,Circular 19 de 2024
35134-02,21620.0,Circular 19 de 2024
35134-05,43240.0,Circular 19 de 2024
35134-04,8648.0,Circular 19 de 2024
35134-03,21620.0,Circular 19 de 2024
35134-01,43240.0,Circular 19 de 2024
228320-05,5405.0,Circular 19 de 2024
228320-06,10810.0,Circular 19 de 2024
228320-07,16215.0,Circular 19 de 2024
228320-04,2162.0,Circular 19 de 2024
