proveedor,laboratorio,cum,descripcion,precio,iva,principio_activo
LAFRACOL,LAFRACOL,,CARDIOMAX PLUS 10/10 mg x 28 TAB-ENT,5869.0,,EZETIMIBA MICRONIZADO 10 mg; ROSUVASTATIN CALC EQV ROSUVASTATINA 10mg
LAFRACOL,LAFRACOL,,CARDIOMAX PLUS 10/20 mg x 28 TAB-ENT,7817.0,,EZETIMIBA MICRONIZADO 10 mg; ROSUVASTATIN CALC EQV ROSUVASTATINA 20mg
LAFRACOL,LAFRACOL,,CETIRAX 10 mg MAST x 10 TAB-ENT,4437.0,,CETIRIZINA DICLORHIDRATO 10 mg
LAFRACOL,LAFRACOL,,CETIRAX GOT x 15mL-ENT,44165.0,,CETIRIZINA DICLORHIDRATO 10 mg/mL
LAFRACOL,LAFRACOL,,CETIRAX JBE x 60mL-ENT,41100.0,,CETIRIZINA DICLORHIDRATO 0.1 g/100 mL
LAFRACOL,LAFRACOL,,CIMOXEN 500 mg x 10 TAB-ENT,7827.0,,CIPROFLOX CLORH EQV CIPROFLOX BASE 500mg
LAFRACOL,LAFRACOL,,CLEAROVAC 64 g x 4 SOB-ENT,12608.0,,POLIETILENGLICOL 4000 86.85 g/100 g
LAFRACOL,LAFRACOL,,CLINACYN GEL x30g-ENT,63820.0,,ADAPALENO MICRONIZADO 0.1%; CLINDAMICINA FOSF EQV CLINDAMICINA 1 g
LAFRACOL,LAFRACOL,,COLIK FORTE x 40 TAB,1378.0,,NAPROXENO 220 mg; ACETAMINOFEN 250 mg; CAFEINA 65 mg
LAFRACOL,LAFRACOL,,CORDIAX 80 MG X 30 TAB-ENT,804.0,,TELMISARTAN 80 mg
LAFRACOL,LAFRACOL,,CORDIAX AM 80/5 mg X 30 TAB ENT,2473.0,,TELMISARTAN 80 mg; AMLODIPINO BESILATO EQV. 5 mg AMLODIPINO
LAFRACOL,LAFRACOL,,DABIX 160/12.5mg x30 TAB-ENT,3449.0,,"VALSARTAN 160 mg; CLORTALIDONA 12,5 mg"
LAFRACOL,LAFRACOL,,DABIX 160/25mg x30 TAB-ENT,2833.0,,VALSARTAN 160 mg; CLORTALIDONA 25 mg
LAFRACOL,LAFRACOL,,DABIX 80/12.5mg x30 TAB-ENT,1885.0,,"VALSARTAN 80 mg; CLORTALIDONA 12,5 mg"
LAFRACOL,LAFRACOL,,DAPTOMIX 5% GEL TBO x20g-ENT,81400.0,,DAPSONA 5 g/100 g
LAFRACOL,LAFRACOL,,DAYAMINERAL Fe JBE 240mL OTC-ENT,48666.0,,VITAMINAS HIERRRO Y MINERALES
LAFRACOL,LAFRACOL,,DICETEL DUO X 12 TAB-ENT,5716.0,,BROMURO DE PINAVERIO 100 mg; SIMETICONA DC 65% EQUIV DIMETICONA 300mg
LAFRACOL,LAFRACOL,,DICETEL DUO X 24 TAB-ENT,5716.0,,BROMURO DE PINAVERIO 100 mg; SIMETICONA DC 65% EQUIV DIMETICONA 300mg
LAFRACOL,LAFRACOL,,DIENOMET 2mg x 28 TAB-ENT,1863.0,,DIENOGEST 2 mg
LAFRACOL,LAFRACOL,,DOLCETTINA 1.5 % FCO X 10 ML-ENT,32499.0,,BEPOTASTINA BESILATO 15 mg/mL
LAFRACOL,LAFRACOL,,DOLIREN 5mg/325mg X 100 TAB-USO,660.0,,ACETAMINOFEN 325 mg; HIDROCODONA BITART DISESQUIHIDRA 5 mg
LAFRACOL,LAFRACOL,,"DOLIREN 7,5mg /325mg X 30 TAB-USO",1771.0,,"ACETAMINOFEN 325 mg; HIDROCODONA BITARTRATO 7,5 mg"
LAFRACOL,LAFRACOL,,DOLIREN PLUS X 30 TAB-USO,2201.0,,ACETAMINOFEN 325 mg; HIDROCODONA BITARTRATO 10 mg
LAFRACOL,LAFRACOL,,DOXU 5mg/250mg X 20 TAB-ENT,2528.0,,NAPROXENO 250 mg; HIDROCODONA BITARTRATO 5 mg
LAFRACOL,LAFRACOL,,"DOXU 7,5mg x20 TAB-ENT",3692.0,,"NAPROXENO 250 mg; HIDROCODONA BITARTRATO 7,5 mg"
LAFRACOL,LAFRACOL,,DOXU PLUS 10mg/250mg X 20 TAB-ENT,4523.0,,HIDROCODONA BITARTRATO 10 mg; NAPROXENO 250 mg
LAFRACOL,LAFRACOL,,DUPHALAC SLN ORAL CJ X 20 SACHETS-ENT,1662.0,,LACTULOSA 66.7 g/100mL
LAFRACOL,LAFRACOL,,DUPHALAC SOLUCION ORAL 200ML-ENT,49800.0,,LACTULOSA 66.7 g/100mL
LAFRACOL,LAFRACOL,,DURAX VSD 10mg x2 TAB-ENT,10787.0,,TADALAFILO MICRONIZADO 10 mg
LAFRACOL,LAFRACOL,,DURAX VSD 20mg x4 TAB-ENT,14188.0,,TADALAFILO MICRONIZADO 20 mg
LAFRACOL,LAFRACOL,,DURAX VSD 5mg x28 TAB-USO,2160.0,,TADALAFILO MICRONIZADO 5 mg
LAFRACOL,LAFRACOL,,EGOGYN 1000 UI x 30 CAP-ENT,1086.0,,DL-ALFATOCOFERIL ACET EQV VIT. E 1000 UI
LAFRACOL,LAFRACOL,,ERICOX 120 mg x 7 TAB-ENT,3967.0,,ETORICOXIB 120 mg
LAFRACOL,LAFRACOL,,ERICOX 30 mg x 10 TAB-ENT,2020.0,,ETORICOXIB 30 mg
LAFRACOL,LAFRACOL,,ERICOX 60mg x 14 TAB-ENT,1983.0,,ETORICOXIB 60 mg
LAFRACOL,LAFRACOL,,ERICOX 90 mg x 14 TAB-ENT,2975.0,,ETORICOXIB 90 mg
LAFRACOL,LAFRACOL,,EROXIM 100 mg x 1 TAB,13831.0,,SILDENAFIL CITRATO EQV SILDENAFIL 100 mg
LAFRACOL,LAFRACOL,,EROXIM 50 mg x 4 TAB-ENT,6057.0,,SILDENAFIL CITRATO EQV. 50mg SILDENAFIL
LAFRACOL,LAFRACOL,,ESTEINE 3.5 mg x 6 OVULOS-USO,4045.0,,ESTRIOL 3.5 mg
LAFRACOL,LAFRACOL,,FACETIX MINI x 28 TAB-ENT,301.0,,CIPROTERONA ACETATO 2 mg; ETINILESTRADIOL 0.02 mg
LAFRACOL,LAFRACOL,,FACETIX SUAVE x 28 TAB-ENT,301.0,,CIPROTERONA ACETATO 2 mg; ETINILESTRADIOL 0.03 mg
LAFRACOL,LAFRACOL,,FACETIX x 21 TAB RECUBIERTA-ENT,402.0,,CIPROTERONA ACETATO 2 mg; ETINILESTRADIOL 0.035 mg
LAFRACOL,LAFRACOL,,FEMELLE 20 CD 3/0.02 mg x 28 TAB-ENT,799.0,,DROSPIRENONA 3 mg; ETINILESTRADIOL 0.02 mg
