proveedor,centro_distribucion,laboratorio,cum,descripcion,precio_proveedor,principio_activo,precio_maximo_venta,circular_origen,ratio_precio_vs_regulado,diferencia_valor,diferencia_pct,motivo
DISFARMA,CALI,METLEN PHARMA,19980678-01,IVERMECTINA 6MG/ML (0.6%) SOL ORL GTS FCOX5ML CX1 (QUANOX FRESA) - METLEN PHARMA,2145,IVERMECTINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,METLEN PHARMA,19980678-01,IVERMECTINA 6MG/ML (0.6%) SOL ORL GTS FCOX5ML CX1 (QUANOX FRESA) - METLEN PHARMA,2145,IVERMECTINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,BREMYMG,19980718-03,ALUMINIO HIDROXIDO+CALCIO CARBONATO+MAGNESIO HIDROXIDO+SIMETICONA (6.54G+8.20G+6.82G+0.50G)/100ML SUSP ORL FCOX360ML (DITOGEL) - BREMYMG,36664,ALUMINIO HIDROXIDO+CALCIO CARBONATO+MAGNESIO HIDROXIDO+SIMETICONA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,BREMYMG,19980718-03,ALUMINIO HIDROXIDO+CALCIO CARBONATO+MAGNESIO HIDROXIDO+SIMETICONA (6.54G+8.20G+6.82G+0.50G)/100ML SUSP ORL FCOX360ML (DITOGEL) - BREMYMG,36664,ALUMINIO HIDROXIDO+CALCIO CARBONATO+MAGNESIO HIDROXIDO+SIMETICONA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,BREMYMG,19980718-03,ALUMINIO HIDROXIDO+CALCIO CARBONATO+MAGNESIO HIDROXIDO+SIMETICONA (6.54G+8.20G+6.82G+0.50G)/100ML SUSP ORL FCOX360ML (DITOGEL) - BREMYMG,36664,ALUMINIO HIDROXIDO+CALCIO CARBONATO+MAGNESIO HIDROXIDO+SIMETICONA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,GENFAR,19980816-01,CLARITROMICINA 500MG TAB CX10 - GENFAR,11750,CLARITROMICINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,GENFAR,19980816-01,CLARITROMICINA 500MG TAB CX10 - GENFAR,11750,CLARITROMICINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,GENFAR,19980816-01,CLARITROMICINA 500MG TAB CX10 - GENFAR,11750,CLARITROMICINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,PROCLIN PHARMA,19980849-01,LIDOCAINA 2G/100G (2%) JAL URETRAL TUBX30G (JALEA) - PROCLIN PHARMA,8300,LIDOCAINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,PROCLIN PHARMA,19980849-01,LIDOCAINA 2G/100G (2%) JAL URETRAL TUBX30G (JALEA) - PROCLIN PHARMA,8300,LIDOCAINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,PROCLIN PHARMA,19980849-01,LIDOCAINA 2G/100G (2%) JAL URETRAL TUBX30G (JALEA) - PROCLIN PHARMA,8300,LIDOCAINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,NOVARTIS,19980966-03,HIDROCLOROTIAZIDA+VALSARTAN 12.5MG+320MG TAB CX28 (DIOVAN HCT) - NOVARTIS,73080,HIDROCLOROTIAZIDA+VALSARTAN,,,,,,SIN_REGULACION_EN_BD
