laboratorio,proveedor,cum,descripcion,precio,iva_pct,principio_activo
NOVAMED,PHARMAPLUS,19960905-01,VITAMINA A 50.000 U.I. CJA 50 CAPSULAS,426.0,0.0,VITAMINA A 50.000 U.I.
SIEGFRIED DERMA,PHARMAPLUS,38361-02,BACTRIM 400/80 MG,2775.0,0.0,"TRIMETOPRIM,SULFAMETOXAZOL"
SIEGFRIED DERMA,PHARMAPLUS,34239-01,BACTRIM F 800/160 MG,5461.0,0.0,SULFAMETOXAZOL
SIEGFRIED DERMA,PHARMAPLUS,54532-03,BACTRIM F 400/80 MG SUSPENSION,86486.0,0.0,"TRIMETOPRIM,SULFAMETOXAZOL"
BUSSIE FARMA,PHARMAPLUS,48561-03,BATEN 150 MG,50416.0,0.0,FLUCONAZOL
BUSSIE FARMA,PHARMAPLUS,48560-02,BATEN 200 MG,51988.0,0.0,FLUCONAZOL
BUSSIE FARMA,PHARMAPLUS,229410-01,BATEN 50 MG/5 M SUSPENSION,108167.0,0.0,FLUCONAZOL
LEGRAND,PHARMAPLUS,20048020-29,CARDIK 3 160/10/12.5 MG,1899.0,0.0,AMLODIPINO BESILATO 13.880 MG EQUIVALENTE A AMLODIPINO BASE
LEGRAND,PHARMAPLUS,20048021-12,CARDIK 3 160/5/12.5 MG,1899.0,0.0,AMLODIPINO BESILATO EQUIVALENTE A AMLODIPINO BASE
LEGRAND,PHARMAPLUS,20048817-20,CARDIK 320 MG,2475.0,0.0,VALSARTAN
LEGRAND,PHARMAPLUS,20047262-16,CARDIK A 160/10 MG,1289.0,0.0,AMLODIPINO BESILATO. EQUIVALENTE A AMLODIPINO
LEGRAND,PHARMAPLUS,20047165-23,CARDIK A 160/5 MG,1289.0,0.0,AMLODIPINO BESILATO 6.940 MG EQUIVALENTE A AMLODIPINO BASE
LEGRAND,PHARMAPLUS,20052583-05,CARDIOCAP 40 MG,508.0,0.0,TELMISARTAN POLVO GRANULADO DC AL 12.5% 328 MG EQUIVALENTE A TELMISARTAN
LEGRAND,PHARMAPLUS,20068387-10,CARDIOCAP A 80/10 MG,2958.0,0.0,AMLODIPINO BESILATO EQUIVALENTE A AMLODIPINO BASE
LEGRAND,PHARMAPLUS,20068385-10,CARDIOCAP A 80/5 MG,2958.0,0.0,AMLODIPINO BESILATO EQUIVALENTE A AMLODIPINO BASE
LAFRANCOL,PHARMAPLUS,19994456-05,CARDIOMAX 10 MG,11511.0,0.0,ROSUVASTATIN CALC EQV ROSUVASTATINA 10MG
LAFRANCOL,PHARMAPLUS,19985046-05,CARDIOMAX 20 MG,12562.0,0.0,ROSUVASTATINA CALCICA (20.8 MG) EQUIVALENTES A ROSUVASTATINA
LAFRANCOL,PHARMAPLUS,19994556-03,CARDIOMAX 40 MG,23952.0,0.0,ROSUVASTATIN CALC EQV ROSUVASTATINA 40MG
LAFRANCOL,PHARMAPLUS,20016078-07,CARDIOMAX PLUS 10/10 MG,8957.0,0.0,EZETIMIBA MICRONIZADO
LAFRANCOL,PHARMAPLUS,20016190-07,CARDIOMAX PLUS 10/20 MG,11595.0,0.0,EZETIMIBA MICRONIZADA
TECNOQUIMICAS VISION,PHARMAPLUS,20018219-01,CARMELUB TEARS GEL,66948.0,0.0,CARBOXIMETILCELULOSA SODICA
ALCON LABORATORIOS,PHARMAPLUS,19902223-01,VITALUX PLUS FCO X 30 TAB,2662.0,19.0,N/A
PROCAPS FARMIONI,PHARMAPLUS,19903517-03,VITAMINA E 1000 UI,1888.0,0.0,VITAMINA E DL-ALFA TOCOFERYL ACETATO /VITAMINA E SINTETICA(EQUIVALENTE A 1000 U.I. )
PROCAPS GENERICOS COLMED,PHARMAPLUS,19938463-70,VITAMINA E 400 CAPSU,295.0,0.0,DL- ALFA TOCOFERIL ACETATO/ VITAMINA E SINTETICA EQUIVALENTE A VITAMINA E
ABBOTT FORMAS NUTRICIONALES,PHARMAPLUS,20020097-06,PEDIALYTE 60 MEQ COCO,9918.0,0.0,"CLORURO DE SODIO 175.70MG, GLUCONATO DE ZINC 6.00MG, GLUCOSA MONOHIDRATADA (1.188G) EQUIVALENTE A GLUCOSA ANHIDRA 1.08G, CITRATO DE SODIO DIHIDRATADO 289.20MG, CLORURO DE POTASIO 150.60MG"
DIABETRICS,PHARMAPLUS,19942638-14,ATOVAROL 10MG CGB CJA X 60 UNI,3413.0,0.0,ATORVASTATINA 10MG
AXON PHARMA SAS,PHARMAPLUS,20106390-01,DOIUM 500 MG,5410.0,0.0,DOBESILATO CALCICO MONOHIDRATADO
SIEGFRIED FARMA,PHARMAPLUS,20123914-02,INVICTUS 5 MG,1904.0,0.0,TADALAFILO
PROCAPS FARMA RX,PHARMAPLUS,20147754-03,NEVIOT 100 MG/ML SOLUCION ORAL,278909.0,0.0,CANNABIDIOL
