laboratorio,proveedor,cum,descripcion,precio,principio_activo,precio_maximo_venta,circular_origen,diferencia_valor,diferencia_pct,motivo,ratio_precio_vs_regulado
LAFRACOL,LAFRACOL,0,BRIA 42 MCG x15ml-ENT,53650.0,BROMURO DE IPRATROPIO 0.06g/100mL,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,BROCRIPTIN 10/5mg x30 TAB MAST-ENT,3728.0,MONTELUKAST MONOS EQV MONTELUKAST 10mg; LEVOCETIRIZINA DICLORHIDRATO 5 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,"BROCRIPTIN 5/2,5mg x30 TAB MAST-ENT",3291.0,MONTELUKAST MONOS EQV MONTELUKAST 5 mg; LEVOCETIRIZINA DICLORHIDRATO 2.5 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,CANDAM 10/16 mg x 30 TAB-ENT,4663.0,AMLODIPINO BESILATO EQV. 10mg AMLODIPINO; CANDESARTAN CILEXETILO 16 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,CANDAM 5/16 mg x 30 TAB-ENT,2179.0,AMLODIPINO BESILATO EQV. 5 mg AMLODIPINO; CANDESARTAN CILEXETILO 16 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,CAPRIMIDA D 315 mg x 30 TAB-ENT,1381.0,CALCIO 315mg; VITAMINA D 200 UI,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,CARDIOL 12.5mg x30 TAB-ENT,1943.0,"CLORTALIDONA 12,5 mg",,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,CARDIOL 25mg x30 TAB-ENT,2068.0,CLORTALIDONA 25 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,CARDIOMAX 10 mg x 20 TAB-ENT,8128.0,ROSUVASTATIN CALC EQV ROSUVASTATINA 10mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,CARDIOMAX 20 mg x 20 TAB-ENT,9039.0,ROSUVASTATIN CALC EQV ROSUVASTATINA 20mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,CARDIOMAX 40 mg x 10 TAB-ENT,19533.0,ROSUVASTATIN CALC EQV ROSUVASTATINA 40mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,CARDIOMAX PLUS 10/10 mg x 28 TAB-ENT,5869.0,EZETIMIBA MICRONIZADO 10 mg; ROSUVASTATIN CALC EQV ROSUVASTATINA 10mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,CARDIOMAX PLUS 10/20 mg x 28 TAB-ENT,7817.0,EZETIMIBA MICRONIZADO 10 mg; ROSUVASTATIN CALC EQV ROSUVASTATINA 20mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,CETIRAX 10 mg MAST x 10 TAB-ENT,4437.0,CETIRIZINA DICLORHIDRATO 10 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,CETIRAX GOT x 15mL-ENT,44165.0,CETIRIZINA DICLORHIDRATO 10 mg/mL,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,CETIRAX JBE x 60mL-ENT,41100.0,CETIRIZINA DICLORHIDRATO 0.1 g/100 mL,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,CIMOXEN 500 mg x 10 TAB-ENT,7827.0,CIPROFLOX CLORH EQV CIPROFLOX BASE 500mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,CLEAROVAC 64 g x 4 SOB-ENT,12608.0,POLIETILENGLICOL 4000 86.85 g/100 g,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,CLINACYN GEL x30g-ENT,63820.0,ADAPALENO MICRONIZADO 0.1%; CLINDAMICINA FOSF EQV CLINDAMICINA 1 g,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,COLIK FORTE x 40 TAB,1378.0,NAPROXENO 220 mg; ACETAMINOFEN 250 mg; CAFEINA 65 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,CORDIAX 80 MG X 30 TAB-ENT,804.0,TELMISARTAN 80 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,CORDIAX AM 80/5 mg X 30 TAB ENT,2473.0,TELMISARTAN 80 mg; AMLODIPINO BESILATO EQV. 5 mg AMLODIPINO,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,DABIX 160/12.5mg x30 TAB-ENT,3449.0,"VALSARTAN 160 mg; CLORTALIDONA 12,5 mg",,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,DABIX 160/25mg x30 TAB-ENT,2833.0,VALSARTAN 160 mg; CLORTALIDONA 25 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,DABIX 80/12.5mg x30 TAB-ENT,1885.0,"VALSARTAN 80 mg; CLORTALIDONA 12,5 mg",,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,DAPTOMIX 5% GEL TBO x20g-ENT,81400.0,DAPSONA 5 g/100 g,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,DAYAMINERAL Fe JBE 240mL OTC-ENT,48666.0,VITAMINAS HIERRRO Y MINERALES,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,DICETEL DUO X 12 TAB-ENT,5716.0,BROMURO DE PINAVERIO 100 mg; SIMETICONA DC 65% EQUIV DIMETICONA 300mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,DICETEL DUO X 24 TAB-ENT,5716.0,BROMURO DE PINAVERIO 100 mg; SIMETICONA DC 65% EQUIV DIMETICONA 300mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,DIENOMET 2mg x 28 TAB-ENT,1863.0,DIENOGEST 2 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,DOLCETTINA 1.5 % FCO X 10 ML-ENT,32499.0,BEPOTASTINA BESILATO 15 mg/mL,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,DOLIREN 5mg/325mg X 100 TAB-USO,660.0,ACETAMINOFEN 325 mg; HIDROCODONA BITART DISESQUIHIDRA 5 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,"DOLIREN 7,5mg /325mg X 30 TAB-USO",1771.0,"ACETAMINOFEN 325 mg; HIDROCODONA BITARTRATO 7,5 mg",,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,DOLIREN PLUS X 30 TAB-USO,2201.0,ACETAMINOFEN 325 mg; HIDROCODONA BITARTRATO 10 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,DOXU 5mg/250mg X 20 TAB-ENT,2528.0,NAPROXENO 250 mg; HIDROCODONA BITARTRATO 5 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,"DOXU 7,5mg x20 TAB-ENT",3692.0,"NAPROXENO 250 mg; HIDROCODONA BITARTRATO 7,5 mg",,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,DOXU PLUS 10mg/250mg X 20 TAB-ENT,4523.0,HIDROCODONA BITARTRATO 10 mg; NAPROXENO 250 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,DUPHALAC SLN ORAL CJ X 20 SACHETS-ENT,1662.0,LACTULOSA 66.7 g/100mL,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,DUPHALAC SOLUCION ORAL 200ML-ENT,49800.0,LACTULOSA 66.7 g/100mL,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,DURAX VSD 10mg x2 TAB-ENT,10787.0,TADALAFILO MICRONIZADO 10 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,DURAX VSD 20mg x4 TAB-ENT,14188.0,TADALAFILO MICRONIZADO 20 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,DURAX VSD 5mg x28 TAB-USO,2160.0,TADALAFILO MICRONIZADO 5 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,EGOGYN 1000 UI x 30 CAP-ENT,1086.0,DL-ALFATOCOFERIL ACET EQV VIT. E 1000 UI,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,ERICOX 120 mg x 7 TAB-ENT,3967.0,ETORICOXIB 120 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
