nombre
Abacavir 2% [100mg/5mL] Solucion oral
Abacavir 300mg Tableta
Abiraterona 250mg Tableta
Abiraterona 500mg Tableta
Acetaminofen + Codeina 325mg + 15mg Tableta
Acetaminofen + Codeina 325mg + 30mg Tableta
Acetaminofen + Tizanidina 350mg + 2mg Tableta
"Acetaminofen + Tramadol 325mg + 37,5mg Tableta"
Acetaminofen 100mg/mL Solucion oral
Acetaminofen 3% [150mg/5mL] Jarabe
Acetaminofen 5% [250mg/5mL] Suspension oral
Acetaminofen 500mg Tableta
Acetazolamida 250mg Tableta
Acetilcisteina 200mg Polvo para reconstituir a solucion oral
Acetilcisteina 600mg Polvo para reconstituir a solucion oral
Acetilsalicilico acido 100mg Tableta
Aciclovir 200mg Tableta
Aciclovir 5% [500mg/10g] Unguento topico
Aciclovir 800mg Tableta
Agua destilada esteril 10mL Solucion inyectable
Aguja para lapicero insulina
Albendazol 2% [100mg/5mL] Suspension oral
Albendazol 200mg Tableta
Alendronico acido 70mg Tableta
Alfametildopa 250mg Tableta
"Alginato de sodio + Bicarbonato de sodio + Calcio carbonato 5% + 2,13% + 3,25% [250mg + 106,5mg + 162,5mg/5mL] Suspension oral"
Alimento en polvo a base de multivitaminas y minerales (Vitamix) sobre x 1g
Alimento listo para uso (Pumply Nut) Sobre x 92g
Alizaprida 12mg/mL Solucion oral
Alizaprida 50mg Tableta
Alopurinol 100mg Tableta
Alopurinol 300mg Tableta
"Alprazolam 0,25mg Tableta"
"Alprazolam 0,5mg Tableta"
Alprazolam 1mg Tableta
"Aluminio acetato 0,118% [5,9mg/5mL] Locion topica"
"Aluminio hidroxido + Magnesio hidroxido + Simeticona 4% + 4% + 0,4% [200mg + 200mg + 20mg/5mL] Suspension oral"
Aluminio hidroxido 6% [300mg/5mL] Suspension oral
"Aluminio sulfato + Calcio acetato 0,052% + 0,036% Polvo topico"
Alverina citrato + Simeticona 60mg + 300mg Capsula blanda
Amantadina clorhidrato 100mg Capsula dura
Amikacina [500mg/2mL] Solucion inyectable
Amiodarona clorhidrato 200mg Tableta
Amisulprida 200mg Tableta
Amitriptilina clorhidrato 25mg Tableta
"Amlodipino + Hidroclorotiazida + Valsartan 10mg + 12,5mg + 160mg Tableta"
Amlodipino + Hidroclorotiazida + Valsartan 10mg + 25mg + 320mg Tableta
Amlodipino + Irbesartan 10mg + 300mg Tableta
Amlodipino + Irbesartan 5mg + 150mg Tableta
Amlodipino + Losartan 5mg + 100mg Capsula dura
Amlodipino + Losartan 5mg + 50mg Tableta
Amlodipino + Olmesartan 5mg + 40mg Tableta
Amlodipino + Telmisartan 10mg + 80mg Tableta
Amlodipino + Telmisartan 5mg + 80mg Tableta
Amlodipino + Valsartan 10mg + 160mg Tableta
Amlodipino + Valsartan 10mg + 320mg Tableta
Amlodipino + Valsartan 5mg + 160mg Capsula blanda
Amlodipino + Valsartan 5mg + 160mg Tableta
Amlodipino + Valsartan 5mg + 320mg Tableta
Amlodipino + Valsartan 5mg + 80mg Tableta
Amlodipino 10mg Tableta
Amlodipino 5mg Tableta
Amoxicilina + Clavulanico acido 500mg + 125mg Tableta
Amoxicilina + Clavulanico acido 875mg + 125mg Tableta
Amoxicilina 5% [250mg/5mL] Polvo para reconstituir a solucion oral
Amoxicilina 500mg Capsula dura
Ampicilina 500mg Capsula dura
Apalutamida 60mg Tableta
"Apixaban 2,5mg Tableta"
Apixaban 5mg Tableta
Aripiprazol 15mg Tableta
Ascorbico acido + Cianocobalamina (vitamina B12) + Folico acido + Fumarato ferroso 100mg + 1mg + 2mg + 330mg Capsula dura
Ascorbico acido + Folico acido + Hierro (fumarato ferroso) 100mg + 1mg + 330mg Capsula dura
Ascorbico acido 100mg/mL Solucion oral
Ascorbico acido 500mg Tableta masticable
Atorvastatina + Ezetimiba 20mg + 10mg Tableta
Atorvastatina + Ezetimiba 40mg + 10mg Tableta
Atorvastatina 10mg Tableta
Atorvastatina 20mg Tableta
Atorvastatina 40mg Tableta
Atorvastatina 80mg Tableta
Atropina sulfato 10mg/mL Solucion oftalmica
